test_num,spray_height,feed_mm_min,feed_mm_sec,fluid_psi,air_psi,needle,coat_dia,thick_mean,thick_sd,,
111,12.5,2000,33.33333333,30,6,12,0.73,3.023333333,0.213853532,,
112,12.5,4000,66.66666667,30,6,12,0.599,2.162333333,0.282853908,,
113,12.5,6000,100,30,6,12,0.54,1.92575,0.219326811,,
114,12.5,9000,150,30,6,12,NA,1.55375,0.067297226,,
121,25,2000,33.33333333,30,6,12,0.909,2.945,0.241315837,,
122,25,4000,66.66666667,30,6,12,0.677,2.098,0.150563386,,
123,25,6000,100,30,6,12,0.551,1.653,0.005196152,,
124,25,9000,150,30,6,12,0.508,1.304333333,0.125300971,,
131,50,2000,33.33333333,30,6,12,0.995,3.2975,0.407298007,,
132,50,4000,66.66666667,30,6,12,0.825,1.8465,0.089920335,,
133,50,6000,100,30,6,12,0.77,1.290666667,0.060871449,,
134,50,9000,150,30,6,12,0.565,0.820333333,0.004041452,,
141,75,2000,33.33333333,30,6,12,1.2,2.57,0.151217283,,
142,75,4000,66.66666667,30,6,12,0.95,1.466,0.093939697,,
143,75,6000,100,30,6,12,0.8,0.918,0.075560131,,
144,75,9000,150,30,6,12,0.635,0.554,0.12817436,,
211,12.5,2000,33.33333333,30,6,24,1.25,10.4525,1.046943965,,
212,12.5,4000,66.66666667,30,6,24,0.915,8.06,0.509116882,,
213,12.5,6000,100,30,6,24,0.745,6.5875,0.810981915,,
214,12.5,9000,150,30,6,24,0.615,4.79,0.614898366,,
221,25,2000,33.33333333,30,6,24,1.368,7.816666667,0.244404037,,
222,25,4000,66.66666667,30,6,24,1.03,6.066666667,0.279344471,,
223,25,6000,100,30,6,24,0.91,4.563333333,0.213853532,,
224,25,9000,150,30,6,24,0.828,3.706666667,0.130128142,,
231,50,2000,33.33333333,30,6,24,NA,7.893333333,0.434319391,,
232,50,4000,66.66666667,30,6,24,1.245,4.93,0.206639783,,
233,50,6000,100,30,6,24,1.103,3.503333333,0.149777613,,
234,50,9000,150,30,6,24,0.9,2.706666667,0.158219257,,
241,75,2000,33.33333333,30,6,24,NA,8.023333333,0.665006266,,
242,75,4000,66.66666667,30,6,24,NA,4.758,0.386095843,,
243,75,6000,100,30,6,24,NA,2.84,0.396862697,,
244,75,9000,150,30,6,24,0.9,2.253333333,0.115036226,,
311,12.5,2000,33.33333333,30,6,18,0.991,8.196666667,1.559177133,,
312,12.5,4000,66.66666667,30,6,18,0.715,5.286666667,0.302379453,,
313,12.5,6000,100,30,6,18,0.625,3.923333333,0.350761077,,
314,12.5,9000,150,30,6,18,0.47,2.873333333,0.19655364,,
321,25,2000,33.33333333,30,6,18,1.076,5.996666667,0.056862407,,
322,25,4000,66.66666667,30,6,18,0.852,4.166666667,0.257746646,,
323,25,6000,100,30,6,18,0.668,3.06,0.173493516,,
324,25,9000,150,30,6,18,0.572,2.376666667,0.064291005,,
331,50,2000,33.33333333,30,6,18,1.316,5.483333333,0.486449723,,
332,50,4000,66.66666667,30,6,18,0.945,3.343333333,0.193993127,,
333,50,6000,100,30,6,18,0.73,2.463333333,0.087368949,,
334,50,9000,150,30,6,18,0.62,1.745666667,0.079826896,,
341,75,2000,33.33333333,30,6,18,1.325,4.696666667,0.134288247,,
342,75,4000,66.66666667,30,6,18,1.021,2.563333333,0.39715656,,
343,75,6000,100,30,6,18,0.775,2.042,0.180269243,,
344,75,9000,150,30,6,18,0.472,1.340333333,0.081941036,,
411,12.5,2000,33.33333333,30,6,18,0.93,#DIV/0!,#DIV/0!,,
412,12.5,4000,66.66666667,15,6,18,0.495,2.696666667,0.046188022,,
413,12.5,6000,100,15,6,18,0.484,2.216666667,0.049328829,,
414,12.5,9000,150,15,6,18,0.315,1.251,0.269985185,,
421,25,2000,33.33333333,15,6,18,0.7,3.74,0.23515952,,
422,25,4000,66.66666667,15,6,18,0.5,2.45,0.060827625,,
423,25,6000,100,15,6,18,0.418,1.722666667,0.230885975,,
424,25,9000,150,15,6,18,0.365,0.961666667,0.171645953,,
431,50,2000,33.33333333,15,6,18,0.79,3.273333333,0.217332311,,
432,50,4000,66.66666667,15,6,18,0.678,2.005,0.052201533,,
433,50,6000,100,15,6,18,0.635,1.476333333,0.058603185,,
434,50,9000,150,15,6,18,0.545,0.771666667,0.058183617,,
441,75,2000,33.33333333,15,6,18,0.955,2.9,0.069282032,,
442,75,4000,66.66666667,15,6,18,0.74,1.585666667,0.203878232,,
443,75,6000,100,15,6,18,0.55,1.062666667,0.059281813,,
444,75,9000,150,15,6,18,0.5,0.819666667,0.100570042,,
511,12.5,2000,33.33333333,40,6,12,0.72,3.806666667,0.151767366,,
512,12.5,4000,66.66666667,40,6,12,0.485,2.75,0.09539392,,
513,12.5,6000,100,40,6,12,0.37,2.47,0.16643317,,
514,12.5,9000,150,40,6,12,0.31,1.838333333,0.053984566,,
521,25,2000,33.33333333,40,6,12,0.72,3.686666667,0.288848288,,
522,25,4000,66.66666667,40,6,12,0.51,2.46,0.081853528,,
523,25,6000,100,40,6,12,0.425,2.066666667,0.047258156,,
524,25,9000,150,40,6,12,0.395,1.592666667,0.114944914,,
531,50,2000,33.33333333,40,6,12,0.805,3.46,0.147309199,,
532,50,4000,66.66666667,40,6,12,0.68,2.03225,0.117757873,,
533,50,6000,100,40,6,12,0.5,1.540333333,0.075975873,,
534,50,9000,150,40,6,12,0.369,1.043333333,0.10010661,,
541,75,2000,33.33333333,40,6,12,0.781,2.73,0.06244998,,
542,75,4000,66.66666667,40,6,12,0.792,1.690333333,0.121261426,,
543,75,6000,100,40,6,12,0.678,1.08,0.055650696,,
544,75,9000,150,40,6,12,0.544,0.704,0.115234543,,
611,12.5,2000,33.33333333,60,6,12,0.858,6.363333333,0.36746882,,
612,12.5,4000,66.66666667,60,6,12,0.665,4.08,0.199749844,,
613,12.5,6000,100,60,6,12,0.467,3.176666667,0.090737717,,
614,12.5,9000,150,60,6,12,0.408,2.59,0.153948043,,
621,25,2000,33.33333333,60,6,12,0.877,4.983333333,0.115902258,,
622,25,4000,66.66666667,60,6,12,0.659,3.3,0.185202592,,
623,25,6000,100,60,6,12,0.535,2.63,0.112694277,,
624,25,9000,150,60,6,12,0.395,1.989333333,0.373846671,,
631,50,2000,33.33333333,60,6,12,0.987,4.45,0.225166605,,
632,50,4000,66.66666667,60,6,12,0.771,2.643333333,0.040414519,,
633,50,6000,100,60,6,12,0.676,1.974333333,0.062580615,,
634,50,9000,150,60,6,12,0.557,1.398,0.152973854,,
641,75,2000,33.33333333,60,6,12,1.113,4.146666667,0.170391706,,
642,75,4000,66.66666667,60,6,12,0.876,2.48,0.036055513,,
643,75,6000,100,60,6,12,0.804,1.571,0.15090063,,
644,75,9000,150,60,6,12,0.6,0.896333333,0.053984566,,
711,12.5,2000,33.33333333,30,12,12,0.685,1.798333333,0.499558138,,
712,12.5,4000,66.66666667,30,12,12,0.465,1.723666667,0.17382846,,
713,12.5,6000,100,30,12,12,0.36,1.568,0.11526925,,
714,12.5,9000,150,30,12,12,0.291,1.292,0.051117512,,
721,25,2000,33.33333333,30,12,12,NA,2.263333333,0.176162803,,
722,25,4000,66.66666667,30,12,12,NA,1.814333333,0.057143095,,
723,25,6000,100,30,12,12,NA,1.503,0.060630026,,
724,25,9000,150,30,12,12,NA,1.147,0.031606961,,
731,50,2000,33.33333333,30,12,12,NA,2.573333333,0.086216781,,
732,50,4000,66.66666667,30,12,12,NA,1.57,0.126834538,,
733,50,6000,100,30,12,12,NA,1.034,0.147257145,,
734,50,9000,150,30,12,12,NA,0.651,0.067579583,,
741,75,2000,33.33333333,30,12,12,NA,2.296666667,0.05033223,,
742,75,4000,66.66666667,30,12,12,NA,1.198,0.062745518,,
743,75,6000,100,30,12,12,NA,0.775666667,0.037072002,,
744,75,9000,150,30,12,12,NA,0.3405,0.161992798,,
811,12.5,2000,33.33333333,30,12,18,NA,3.84,0.240624188,,
812,12.5,4000,66.66666667,30,12,18,NA,2.566666667,0.075055535,,
813,12.5,6000,100,30,12,18,NA,1.85,0.478017782,,
814,12.5,9000,150,30,12,18,NA,2.086666667,0.025166115,,
821,25,2000,33.33333333,30,12,18,NA,4.01,0.796178372,,
822,25,4000,66.66666667,30,12,18,NA,2.763333333,0.090737717,,
823,25,6000,100,30,12,18,NA,2.476666667,0.077674535,,
824,25,9000,150,30,12,18,NA,2.05,0.065574385,,
831,50,2000,33.33333333,30,12,18,1.05,4.02,0.505865595,,
832,50,4000,66.66666667,30,12,18,NA,2.87,0.081853528,,
833,50,6000,100,30,12,18,NA,2.17,0.112694277,,
834,50,9000,150,30,12,18,NA,1.662666667,0.122712401,,
841,75,2000,33.33333333,30,12,18,NA,4.126666667,0.175594229,,
842,75,4000,66.66666667,30,12,18,1.088,2.566666667,0.037859389,,
843,75,6000,100,30,12,18,1.035,2.06,0.052915026,,
844,75,9000,150,30,12,18,0.95,1.492333333,0.054930259,,
3911,12.5,2000,33.33333333,15,15,24,0.62992126,2.886,0.309321839,,
3912,12.5,4000,66.66666667,15,15,24,0.413385827,2.343333333,0.158219257,,
3913,12.5,6000,100,15,15,24,0.31496063,2.264,0.103101891,,
3914,12.5,9000,150,15,15,24,0.196850394,2.0235,0.120555658,,
5311,12.5,2000,33.33333333,30,15,24,0.984251969,6.01,0.551089829,,
5312,12.5,4000,66.66666667,30,15,24,0.669291339,4.363333333,0.115902258,,
5313,12.5,6000,100,30,15,24,0.551181102,3.556666667,0.119303534,,
5314,12.5,9000,150,30,15,24,0.393700787,3.17,0.103923048,,
6311,12.5,2000,33.33333333,45,12,12,0.669291339,2.803333333,0.298719489,,
6312,12.5,4000,66.66666667,45,12,12,0.393700787,2.26,0.325115364,,
6313,12.5,6000,100,45,12,12,0.275590551,2.037666667,0.148109194,,
6314,12.5,9000,150,45,12,12,0.216535433,2.19,0.185202592,,
6411,12.5,2000,33.33333333,45,15,12,0.669291339,2.4,0.213775583,,
6412,12.5,4000,66.66666667,45,15,12,0.433070866,1.959,0.193082884,,
6413,12.5,6000,100,45,15,12,0.31496063,1.9715,0.217532373,,
6414,12.5,9000,150,45,15,12,0.157480315,1.85,0.122882057,,
6911,12.5,2000,33.33333333,45,15,18,0.905511811,4.18,0.294618397,,
6912,12.5,4000,66.66666667,45,15,18,0.62992126,3.02,0.216564078,,
6913,12.5,6000,100,45,15,18,0.472440945,2.593333333,0.177857621,,
6914,12.5,9000,150,45,15,18,0.354330709,2.546666667,0.110151411,,
7311,12.5,2000,33.33333333,45,12,24,0.984251969,8.806666667,0.681493458,,
7312,12.5,4000,66.66666667,45,12,24,0.62992126,6.573333333,0.546015873,,
7313,12.5,6000,100,45,12,24,0.511811024,6.25,0.259422435,,
7314,12.5,9000,150,45,12,24,0.393700787,5.74,0.32176596,,
7411,12.5,2000,33.33333333,45,15,24,1.062992126,8.733333333,0.589689184,,
7412,12.5,4000,66.66666667,45,15,24,0.692913386,5.366666667,0.617764788,,
7413,12.5,6000,100,45,15,24,#VALUE!,4.876666667,0.247049253,,
7414,12.5,9000,150,45,15,24,0.417322835,4.573333333,0.240069434,,
